transaction_id,amount,timestamp,amount_z,anomaly_label
TX000001,4874.16,2026-06-13 08:25:00,-0.5975385904474017,0
TX000002,15496.82,2026-08-21 01:13:00,0.07140781848205871,0
TX000003,1485.76,2026-05-09 17:36:00,-0.8109181029251222,0
TX000004,5859.51,2026-04-21 15:42:00,-0.5354876216656987,0
TX000005,2510.83,2026-08-18 09:53:00,-0.746365825491662,0
TX000006,4800.93,2026-02-21 06:41:00,-0.6021501421233382,0
TX000007,28559.32,2026-03-18 01:12:00,0.893999567313432,0
TX000008,51044.69,2026-08-27 03:06:00,2.309982712302561,0
TX000009,12733.86,2026-04-03 15:23:00,-0.1025855287601331,0
TX000010,21996.77,2026-04-25 20:44:00,0.48073262137710066,0
TX000011,20189.91,2026-01-02 19:00:00,0.3669482671345395,0
TX000012,2592.13,2026-04-26 17:23:00,-0.7412460774204666,0
TX000013,17597.62,2026-02-19 16:38:00,0.20370261242999735,0
TX000014,5228.6,2026-02-26 04:47:00,-0.5752182521158578,0
TX000015,18330.61,2026-05-15 22:50:00,0.24986158092576077,0
TX000016,33348.42,2026-03-06 15:12:00,1.19558610467828,0
TX000017,5608.46,2026-01-09 11:47:00,-0.5512971266260138,0
TX000018,9816.03,2026-07-09 12:55:00,-0.28633158675000075,0
TX000019,15273.27,2026-08-24 01:23:00,0.05733008562454652,0
TX000020,3637.73,2026-04-25 16:34:00,-0.67540095339535,0
TX000021,7870.6,2026-06-26 18:54:00,-0.4088421831847582,0
TX000022,6060.97,2026-06-25 08:40:00,-0.5228009741082199,0
TX000023,2732.36,2026-07-07 19:28:00,-0.7324152991667919,0
TX000024,27604.46,2026-07-03 22:03:00,0.8338686614922549,0
TX000025,24472.31,2026-03-02 10:33:00,0.6366261163361069,0
TX000026,11034.27,2026-08-10 16:13:00,-0.2096147123311428,0
TX000027,6622.29,2026-04-30 14:32:00,-0.4874526716811174,0
TX000028,3518.94,2026-08-26 06:47:00,-0.6828815791441484,0
